graph,k,load,time
0-part_59-s.repeats.hgr,48,57,29
0-part_59-s.repeats.hgr,160,57,7
0-part_59-s.repeats.hgr,256,57,6
0-part_59-s.repeats.hgr,2048,57,9
0-part_59-l.repeats.hgr,48,531,742
0-part_59-l.repeats.hgr,160,233,418
0-part_59-l.repeats.hgr,256,176,319
0-part_59-l.repeats.hgr,2048,58,24
0-part_128-0.repeats.hgr,48,924,1142
0-part_128-0.repeats.hgr,160,528,929
0-part_128-0.repeats.hgr,256,341,476
0-part_128-0.repeats.hgr,2048,127,19
0-part_128-s.repeats.hgr,48,157,19
0-part_128-s.repeats.hgr,160,126,9
0-part_128-s.repeats.hgr,256,126,8
0-part_128-s.repeats.hgr,2048,126,12
0-part_128-l.repeats.hgr,48,1466,4983
0-part_128-l.repeats.hgr,160,652,4092
0-part_128-l.repeats.hgr,256,538,3806
0-part_128-l.repeats.hgr,2048,167,906
0-part_404-s.repeats.hgr,48,516,75
0-part_404-s.repeats.hgr,160,402,14
0-part_404-s.repeats.hgr,256,402,15
0-part_404-s.repeats.hgr,2048,402,18
0-part_404-l.repeats.hgr,48,2558,5974
0-part_404-l.repeats.hgr,160,1165,4181
0-part_404-l.repeats.hgr,256,915,3342
0-part_404-l.repeats.hgr,2048,402,52
0-part_sm_part1_170859.repeats.hgr,48,14013,5.15759e+06
0-part_sm_part1_170859.repeats.hgr,160,6285,4.91732e+06
0-part_sm_part1_170859.repeats.hgr,256,4939,4.89718e+06
0-part_sm_part1_170859.repeats.hgr,2048,1286,4.74524e+06
0-part_sm_part3_31854.repeats.hgr,48,12804,857304
0-part_sm_part3_31854.repeats.hgr,160,5870,775848
0-part_sm_part3_31854.repeats.hgr,256,4133,753311
0-part_sm_part3_31854.repeats.hgr,2048,1041,617414
0-part_sm_part12_20753.repeats.hgr,48,11298,635252
0-part_sm_part12_20753.repeats.hgr,160,5266,573184
0-part_sm_part12_20753.repeats.hgr,256,3961,560838
0-part_sm_part12_20753.repeats.hgr,2048,937,437746
0-part_sm_part24_11756.repeats.hgr,48,8148,324485
0-part_sm_part24_11756.repeats.hgr,160,3948,296357
0-part_sm_part24_11756.repeats.hgr,256,2795,288516
0-part_sm_part24_11756.repeats.hgr,2048,780,223059
